--------------------------------------------------------------------------------
|
| SpringSource dm Server 
|
--------------------------------------------------------------------------------
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Optimize cache for minimal puts: disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Cache region prefix: qq
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Structured second-level cache entries: enabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Query cache factory: org.hibernate.cache.StandardQueryCacheFactory
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Echoing all SQL to stdout
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Statistics: disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Deleted entity synthetic identifier rollback: disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Default entity-mode: pojo
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Named query checking : enabled
[2009-02-23 15:21:46.140] server-dm-5                                 org.hibernate.impl.SessionFactoryImpl.unknown I building session factory
[2009-02-23 15:21:46.140] server-dm-5              a.webx.components.cache.memcached.MemcachedCacheProvider.unknown I servers == localhost:11211
[2009-02-23 15:21:46.437] server-dm-5              a.webx.components.cache.memcached.MemcachedCacheProvider.unknown I Building cache named qq.com.apress.springrecipes.course.Course using secondToLive is -1
[2009-02-23 15:21:46.609] server-dm-5                        org.hibernate.impl.SessionFactoryObjectFactory.unknown I Not binding factory to JNDI, no JNDI name configured
[2009-02-23 15:21:46.609] server-dm-5                               org.hibernate.tool.hbm2ddl.SchemaUpdate.unknown I Running hbm2ddl schema update
[2009-02-23 15:21:46.609] server-dm-5                               org.hibernate.tool.hbm2ddl.SchemaUpdate.unknown I fetching database metadata
[2009-02-23 15:21:46.625] server-dm-5                               org.hibernate.tool.hbm2ddl.SchemaUpdate.unknown I updating schema
[2009-02-23 15:21:46.640] server-dm-5                           org.hibernate.tool.hbm2ddl.DatabaseMetadata.unknown I table not found: COURSE
[2009-02-23 15:21:46.640] server-dm-5                           org.hibernate.tool.hbm2ddl.DatabaseMetadata.unknown I table not found: COURSE
[2009-02-23 15:21:46.640] server-dm-5                               org.hibernate.tool.hbm2ddl.SchemaUpdate.unknown I schema update complete
[2009-02-23 15:21:46.640] server-dm-5                             org.hibernate.cache.UpdateTimestampsCache.unknown I starting update timestamps cache at region: qq.org.hibernate.cache.UpdateTimestampsCache
[2009-02-23 15:21:46.640] server-dm-5              a.webx.components.cache.memcached.MemcachedCacheProvider.unknown I Building cache named qq.org.hibernate.cache.UpdateTimestampsCache using secondToLive is -1
[2009-02-23 15:21:46.640] server-dm-5                                org.hibernate.cache.StandardQueryCache.unknown I starting query cache at region: qq.org.hibernate.cache.StandardQueryCache
[2009-02-23 15:21:46.640] server-dm-5              a.webx.components.cache.memcached.MemcachedCacheProvider.unknown I Building cache named qq.org.hibernate.cache.StandardQueryCache using secondToLive is -1
[2009-02-23 15:21:46.656] server-dm-5              ingsource.management.adapter.jmx.ManagedResourceExporter.unknown I Registered MBean: spring.application:application=course_memcached_osgi-1,type=HibernateSessionFactory,name=sessionFactory
[2009-02-23 15:21:46.656] server-dm-5              ringframework.orm.hibernate3.HibernateTransactionManager.unknown I Using DataSource [org.apache.commons.dbcp.BasicDataSource@13fb657] of Hibernate SessionFactory for HibernateTransactionManager
[2009-02-23 15:21:46.671] server-dm-5              ingsource.management.adapter.jmx.ManagedResourceExporter.unknown I Registered MBean: spring.application:application=course_memcached_osgi-1,type=PlatformTransactionManager,name=transactionManager
[2009-02-23 15:21:46.687] server-dm-5              ingsource.management.adapter.jmx.ManagedResourceExporter.unknown I Registered MBean: spring.application:application=course_memcached_osgi-1,type=Repository,name=courseDao
[2009-02-23 15:21:46.796] server-dm-5                                       org.quartz.core.QuartzScheduler.unknown I Quartz Scheduler v.1.6.0 created.
[2009-02-23 15:21:46.796] server-dm-5                                          org.quartz.simpl.RAMJobStore.unknown I RAMJobStore initialized.
[2009-02-23 15:21:46.796] server-dm-5                                   org.quartz.impl.StdSchedulerFactory.unknown I Quartz scheduler 'QuartzScheduler' initialized from an externally provided properties instance.
[2009-02-23 15:21:46.796] server-dm-5                                   org.quartz.impl.StdSchedulerFactory.unknown I Quartz scheduler version: 1.6.0
[2009-02-23 15:21:46.796] server-dm-5                                       org.quartz.core.QuartzScheduler.unknown I JobFactory set to: org.springframework.scheduling.quartz.AdaptableJobFactory@61865c
[2009-02-23 15:21:46.796] server-dm-5              g.springframework.scheduling.quartz.SchedulerFactoryBean.unknown I Starting Quartz Scheduler now
[2009-02-23 15:21:46.796] server-dm-5                                       org.quartz.core.QuartzScheduler.unknown I Scheduler QuartzScheduler_$_NON_CLUSTERED started.
[2009-02-23 15:21:46.875] server-dm-5               com.sitechasia.webx.components.cache.memcached.MemCache.unknown I put key == COURSE
[2009-02-23 15:21:46.875] server-dm-5                                   com.danga.MemCached.MemCachedClient.unknown I Storing with native handler...
[2009-02-23 15:21:46.875] server-dm-5                                   com.danga.MemCached.MemCachedClient.unknown I ++++ memcache cmd (result code): set COURSE 0 0 9
 (STORED)
[2009-02-23 15:21:46.875] server-dm-5                                   com.danga.MemCached.MemCachedClient.unknown I ++++ data successfully stored for key: COURSE
[2009-02-23 15:21:46.875] server-dm-5                                                                    System.out I Hibernate: insert into COURSE (ID, BEGIN_DATE, END_DATE, FEE, TITLE) values (null, ?, ?, ?, ?)
[2009-02-23 15:21:46.875] server-dm-5                                                                    System.out I Hibernate: call identity()
[2009-02-23 15:21:46.890] server-dm-5               com.sitechasia.webx.components.cache.memcached.MemCache.unknown I put key == COURSE
[2009-02-23 15:21:46.890] server-dm-5                                   com.danga.MemCached.MemCachedClient.unknown I Storing with native handler...
[2009-02-23 15:21:46.890] server-dm-5                                   com.danga.MemCached.MemCachedClient.unknown I ++++ memcache cmd (result code): set COURSE 0 0 9
 (STORED)
[2009-02-23 15:21:46.890] server-dm-5                                   com.danga.MemCached.MemCachedClient.unknown I ++++ data successfully stored for key: COURSE
[2009-02-23 15:21:50.015] QuartzScheduler_Worker-1                                                       System.out I ********************************************************************
[2009-02-23 15:21:50.234] QuartzScheduler_Worker-1  com.sitechasia.webx.components.cache.memcached.MemCache.unknown I get key == sql: select course0_.ID as ID0_, course0_.BEGIN_DATE as BEGIN2_0_, course0_.END_DATE as END3_0_, course0_.FEE as FEE0_, course0_.TITLE as TITLE0_ from COURSE course0_; parameters: ; named parameters: {}
[2009-02-23 15:21:50.250] QuartzScheduler_Worker-1                      com.danga.MemCached.MemCachedClient.unknown I ++++ deserializing class java.util.ArrayList
